unified_id,platform,show_id,original_title,original_year
UT00471,disney,s587,Pluto's Party,1952
UT00472,disney,s1139,Pluto's Christmas Tree,1952
UT00473,disney,s1341,The Story of Robin Hood And His Merrie Men,1952
UT00474,amazon,s444,The Snows of Kilimanjaro,1952
UT00475,amazon,s774,The African Queen,1952
UT00476,amazon,s1505,Never Wave at a WAC,1952
UT00477,amazon,s2293,Greatest Show On Earth,1952
UT00478,amazon,s2483,Fighter,1952
UT00479,amazon,s4490,High Noon,1952
UT00480,amazon,s4513,Jack And The Beanstalk,1952
UT00481,amazon,s5006,The Quiet Man,1952
UT00482,amazon,s6124,Kansas City Confidential,1952
UT00483,amazon,s6388,Abbott & Costello Christmas Show,1952
UT00484,amazon,s6989,The Old West,1952
UT00485,amazon,s7883,Scandal Sheet 1952 Crime Drama Thriller Film Noir Classic Mystery,1952
UT00486,amazon,s7982,Wagon Team,1952
UT00487,amazon,s8023,Night Stage To Galveston,1952
UT00488,amazon,s8053,Barbed Wire,1952
UT00489,amazon,s8055,Apache Country,1952
UT00490,disney,s547,Prowlers of the Everglades,1953
UT00491,disney,s573,Don's Fountain of Youth,1953
UT00492,disney,s591,The New Neighbor,1953
UT00493,disney,s1122,Peter Pan,1953
UT00494,disney,s1302,The Living Desert,1953
UT00495,disney,s1339,The Simple Things,1953
UT00496,amazon,s739,The Bigamist,1953
UT00497,amazon,s1138,Roman Holiday,1953
UT00498,amazon,s2260,Hans Christian Andersen,1953
UT00499,amazon,s2917,Captain Scarlett,1953
UT00500,amazon,s3923,Arrowhead,1953
UT00501,amazon,s4227,The Blue Gardenia,1953
UT00502,amazon,s4769,Riders Of The Whistling Pines,1953
UT00503,amazon,s4777,Loaded Pistols,1953
UT00504,amazon,s5774,The Magnetic Monster - One of the best 50's Sci-Fi Movies,1953
UT00505,amazon,s6303,Return to Paradise,1953
UT00506,amazon,s6379,Raiders Of The Seven Seas,1953
UT00507,amazon,s6623,The Hitch-Hiker,1953
UT00508,amazon,s7632,Fear and Desire,1953
UT00509,amazon,s7652,Beat The Devil,1953
UT00510,amazon,s7744,"Gary Cooper in ""Return To Paradise"" - The South Pacific Adventure Classic!",1953
UT00511,amazon,s7979,Winning Of The West,1953
UT00512,amazon,s9112,Saginaw Trail,1953
UT00513,amazon,s9130,Pack Train,1953
UT00514,amazon,s9135,On Top Of Old Smoky,1953
UT00515,amazon,s9164,Last Of The Pony Riders,1953
UT00516,amazon,s9190,Goldtown Ghost Riders,1953
UT00517,netflix,s1700,White Christmas,1954
UT00518,netflix,s2376,The Blazing Sun,1954
UT00519,disney,s576,Dragon Around,1954
UT00520,disney,s713,"20,000 Leagues Under the Sea",1954
UT00521,disney,s922,Grand Canyonscope,1954
UT00522,disney,s1355,The Vanishing Prairie,1954
UT00523,amazon,s1195,RED GARTERS,1954
UT00524,amazon,s1503,New Faces,1954
UT00525,amazon,s1752,Man In The Attic,1954
UT00526,amazon,s2009,Johnny Guitar,1954
UT00527,amazon,s2319,Gog,1954
UT00528,amazon,s3782,Robinson Crusoe,1954
UT00529,amazon,s6081,Salt of the Earth,1954
UT00530,amazon,s6302,Return To Treasure Island,1954
UT00531,amazon,s6541,Penn,1954
UT00532,amazon,s7346,Courtroom Double Feature,1954
UT00533,amazon,s7741,Golden Mistress - An Action Adventure Voodoo Thriller,1954
UT00534,amazon,s8164,All Marketplaces,1954
UT00535,netflix,s7840,Rebel Without a Cause,1955
